year,brand,model_name,price,distance_travelled(kms),fuel_type,city
2011,BMW,7,1650000,65000,Petrol,Mumbai
2012,Mercedes-Benz,S-Class,1950000,71000,Diesel,Mumbai
2013,Mercedes-Benz,B-Class,1050000,67000,Petrol,Mumbai
2007,BMW,3,425000,48000,Diesel,Mumbai
2016,Mercedes-Benz,S-Class,5700000,56500,Diesel,Dehradun
2012,Land Rover,Evoque,1900000,127000,Diesel,Dehradun
2018,Land Rover,Evoque,4900000,19500,Diesel,Dehradun
2018,Land Rover,Evoque,4800000,29500,Diesel,Dehradun
2010,Mercedes-Benz,E-Class,1050000,55000,Petrol,Mumbai
2015,Mercedes-Benz,A-Class,1375000,61000,Diesel,Mumbai
2019,BMW,X1,3499000,26000,Diesel,Mumbai
2019,BMW,5,4975000,25000,Diesel,Mumbai
2010,Toyota,Corolla,375000,46000,Petrol,Mumbai
2010,Audi,Q5,999000,59000,Petrol,Mumbai
2015,Land Rover,Evoque,2600000,77000,Diesel,Mumbai
2017,Toyota,Innova,1575000,60000,Diesel,Mumbai
2014,Toyota,Innova,950000,91000,Diesel,Mumbai
2015,MINI,Cooper,2500000,14000,Diesel,Mumbai
2017,Nissan,Terrano,690000,21000,Petrol,Mumbai
2017,Ford,Endeavour,2975000,12000,Diesel,Mumbai
2008,BMW,3,450000,70000,Petrol,Mumbai
2016,Hyundai,Creta,1090000,39000,Petrol,Mumbai
2012,BMW,X3,1675000,59000,Diesel,Mumbai
2014,Honda,CR-V,1200000,108200,Petrol,Mumbai
2014,Land Rover,Freelander,1950000,61000,Diesel,Mumbai
2015,Maruti Suzuki,Ciaz,575000,52000,Petrol,Mumbai
2010,Chevrolet,Beat,115000,82000,Petrol,Mumbai
2017,Toyota,Innova,1760000,56089,Diesel,Thane
2014,Audi,Q3,1650000,45095,Diesel,Thane
2017,Mahindra,KUV100,575000,12321,Diesel,Thane
2017,Mahindra,XUV500,1325000,67894,Diesel,Thane
2014,Renault,Duster,625000,44835,Diesel,Thane
2013,Toyota,Fortuner,1451000,118363,Diesel,Thane
2015,Hyundai,i20,525000,98877,Petrol,Thane
2019,Datsun,redi-GO,310000,41298,Petrol,Thane
2016,Maruti Suzuki,Baleno,675000,57209,Diesel,Thane
2017,Honda,Jazz,610000,49390,Petrol,Thane
2013,Nissan,Sunny,345000,30477,Petrol,Thane
2012,Volkswagen,Polo,325000,49000,Petrol,Mumbai
2016,Tata,Tiago,465000,19000,Petrol,Mumbai
2020,Tata,Altroz,815000,7500,Petrol,Mumbai
2018,Mahindra,TUV300,775000,54989,Diesel,Thane
2017,Maruti Suzuki,Vitara,891000,22388,Diesel,Thane
2015,Honda,City,660000,46475,Petrol,Thane
2014,Toyota,Etios,350000,31913,Petrol,Thane
2015,Hyundai,Grand,470000,55474,Petrol,Thane
2014,Ford,Figo,335000,68051,Diesel,Thane
2011,Honda,City,345000,44000,Petrol,Mumbai
2011,Honda,Civic,345000,36500,Petrol,Mumbai
2018,MINI,Countryman,3445000,3900,Diesel,Mumbai
2012,Skoda,Rapid,335000,37000,Petrol,Mumbai
2018,Hyundai,i20,790000,42000,Diesel,Mumbai
2019,Jeep,Compass,1450000,39500,Diesel,Mumbai
2017,Hyundai,Elite,595000,32000,Petrol,Mumbai
2012,Maruti Suzuki,Ritz,315000,56452,Petrol,Mumbai
2015,Mercedes-Benz,C-Class,2500000,22341,Diesel,Mumbai
2018,Mahindra,Bolero,655000,85000,Diesel,Mumbai
2018,Mahindra,Bolero,675000,58000,Diesel,Mumbai
2014,Mercedes-Benz,C-Class,1750000,21212,Diesel,Mumbai
2012,Maruti Suzuki,SX4,315000,68890,Petrol,Mumbai
2016,Porsche,Cayenne,7800000,31000,Diesel,Mumbai
2012,Honda,City,489000,49000,Petrol,Navi Mumbai
2007,Mercedes-Benz,C-Class,375000,115140,Petrol,Mumbai
2013,Audi,Q5,1600000,74000,Diesel,Dehradun
2014,Audi,Q7,2800000,54500,Diesel,Dehradun
2015,BMW,5,2350000,77000,Diesel,Dehradun
2013,Audi,A4,1450000,63700,Diesel,Dehradun
2013,Audi,A6,1650000,64000,Diesel,Dehradun
2018,Audi,Q3,2800000,43000,Diesel,Dehradun
2020,Land Rover,Evoque,5900000,9000,Diesel,Dehradun
2016,Volvo,V40,1750000,78000,Diesel,Dehradun
2011,Chevrolet,Beat,171000,31000,Petrol,Mumbai
2011,Skoda,Superb,390000,54000,Petrol,Mumbai
2009,Toyota,Innova,525000,65000,Diesel,Mumbai
2015,Toyota,Innova,1050000,18000,Diesel,Mumbai
2015,Mahindra,XUV500,890000,53000,Diesel,Mumbai
2015,Honda,CR-V,1325000,42000,Petrol,Mumbai
2020,Hyundai,Creta,1990000,7800,Diesel,Mumbai
2017,Hyundai,Elite,550000,20000,Petrol,Mumbai
2018,Maruti Suzuki,Dzire,785000,27000,Diesel,Thane
2013,Audi,Q7,2050000,43000,Diesel,Mumbai
2015,BMW,3,2350000,37000,Diesel,Mumbai
2018,Mahindra,XUV500,1445000,34000,Diesel,Mumbai
2017,Hyundai,Creta,995000,38000,Petrol,Mumbai
2017,Mercedes-Benz,CLA,4300000,17000,Petrol,Dehradun
2018,Mahindra,XUV500,1445000,34000,Diesel,Mumbai
2017,Hyundai,Creta,995000,38000,Petrol,Mumbai
2009,Toyota,Innova,525000,65000,Diesel,Mumbai
2011,Chevrolet,Beat,171000,31000,Petrol,Mumbai
2017,Hyundai,Elite,550000,20000,Petrol,Mumbai
2020,Hyundai,Creta,1990000,7800,Diesel,Mumbai
2020,Hyundai,Creta,2025000,9000,Petrol,Mumbai
2014,Mercedes-Benz,S-Class,4700000,49000,Diesel,Navi Mumbai
2019,Hyundai,Creta,1550000,10500,Petrol,Navi Mumbai
2018,Honda,Jazz,640000,33000,Petrol,Navi Mumbai
2013,Maruti Suzuki,SX4,399000,47284,Petrol,Mumbai
2015,Volkswagen,Vento,521000,62618,Petrol,Mumbai
2020,Mercedes-Benz,C-Class,4750000,4200,Diesel,Mumbai
2017,Hyundai,Verna,675000,31414,Petrol,Mumbai
2016,Hyundai,Elite,650000,24694,Petrol,Mumbai
2013,Hyundai,i10,325000,29708,Petrol,Mumbai
2012,Toyota,Etios,375000,40200,Petrol,Thane
2015,Toyota,Innova,1030000,156334,Diesel,Thane
2013,Maruti Suzuki,Ritz,365000,32000,Petrol,Thane
2021,Maruti Suzuki,Baleno,900000,350,Petrol,Mumbai
2015,Tata,Zest,495000,61649,Diesel,Thane
2016,Honda,BR-V,855000,28367,Petrol,Thane
2019,Maruti Suzuki,S-Cross,985000,33997,Diesel,Thane
2011,Honda,City,465000,47209,Petrol,Thane
2013,Hyundai,Elantra,675000,62812,Diesel,Thane
2014,Maruti Suzuki,Ciaz,645000,52204,Petrol,Thane
2011,Honda,Brio,295000,39295,Petrol,Thane
2017,Hyundai,Grand,521000,54803,Petrol,Thane
2014,Toyota,Innova,975000,150116,Diesel,Thane
2016,Maruti Suzuki,Baleno,621000,48968,Petrol,Thane
2017,Maruti Suzuki,Vitara,895000,43494,Diesel,Thane
2017,Nissan,Sunny,635000,41584,Petrol,Thane
2016,Hyundai,Creta,1145000,56839,Diesel,Thane
2012,Hyundai,i10,315000,34600,Petrol,Thane
2014,Renault,Duster,545000,77082,Diesel,Thane
2016,Maruti Suzuki,Ciaz,615000,52000,Diesel,Mumbai
2014,Audi,Q3,1455000,65000,Diesel,Mumbai
2012,Hyundai,i20,349000,84000,Diesel,Navi Mumbai
2017,Maruti Suzuki,Ciaz,775000,39535,Diesel,Thane
2015,Toyota,Etios,499000,39792,Petrol,Thane
2016,Toyota,Corolla,1095000,31552,Petrol,Thane
2015,Hyundai,Verna,725000,37399,Petrol,Thane
2012,Toyota,Innova,765000,158359,Diesel,Thane
2016,Maruti Suzuki,Baleno,699000,22272,Petrol,Thane
2017,Mahindra,XUV500,1545000,39700,Diesel,Thane
2017,Hyundai,Creta,1195000,30958,Petrol,Thane
2018,Honda,WR-V,895000,32202,Diesel,Thane
2018,Land Rover,Discovery,4190000,65000,Diesel,Mumbai
2018,Mercedes-Benz,CLA,3000000,10000,Diesel,Mumbai
2020,Volkswagen,Polo,1025000,2608,Petrol,Mumbai
2021,Skoda,Superb,3495000,7500,Petrol,Mumbai
2018,Mercedes-Benz,CLA,2795000,34000,Diesel,Mumbai
2016,Mahindra,XUV500,1325000,41000,Diesel,Mumbai
2007,Honda,CR-V,290000,195000,Petrol,Mumbai
2017,Hyundai,Creta,1100000,43100,Petrol,Mumbai
2018,Mercedes-Benz,CLA,2650000,17300,Petrol,Mumbai
2012,Honda,Accord,450000,61700,Petrol,Mumbai
2016,Maruti Suzuki,Swift,650000,68003,Diesel,Mumbai
2016,Mercedes-Benz,C-Class,2200000,85000,Diesel,Mumbai
2009,Hyundai,Verna,197000,98000,Diesel,Mumbai
2014,BMW,X1,1275000,45000,Diesel,Mumbai
2015,Volkswagen,Vento,615000,33000,Petrol,Mumbai
2018,Honda,BR-V,1045000,4000,Petrol,Mumbai
2012,Toyota,Etios,325000,54215,Petrol + 1,Mumbai
2018,Honda,City,1051000,47000,Petrol,Mumbai
2018,Maruti Suzuki,Vitara,975000,19000,Diesel,Mumbai
2015,Hyundai,i20,695000,30000,Diesel,Mumbai
2012,Mahindra,Scorpio,567000,88000,Diesel,Mumbai
2018,BMW,X5,5675000,21000,Diesel,Mumbai
2018,Land Rover,Evoque,4500000,40000,Diesel,Mumbai
2010,Maruti Suzuki,Estilo,145000,78500,Petrol,Mumbai
2019,Tata,Tiago,475000,11733,Petrol,Delhi
2013,Hyundai,Verna,450000,41931,Petrol,Delhi
2018,Mercedes-Benz,E-Class,5175000,14880,Diesel,Delhi
2014,Honda,Brio,300000,41606,Petrol,Noida
2018,Jeep,Compass,1650000,16000,Petrol,Ghaziabad
2012,Jaguar,XF,2050000,27300,Diesel,Panchkula
2017,BMW,X1,2700000,18500,Diesel,Delhi
2014,Skoda,Rapid,445000,32000,Petrol,Delhi
2013,Maruti Suzuki,Estilo,215000,56567,Petrol,Delhi
2014,Hyundai,Grand,365000,51000,Petrol,Delhi
2015,Toyota,Innova,925000,790000,Diesel,Delhi
2009,Hyundai,Santro,150000,43000,Petrol,Delhi
2009,Honda,City,260000,83000,Petrol,Delhi
2011,Mahindra,Scorpio,465000,720000,Diesel,Delhi
2015,MINI,Cooper,1700000,45000,Petrol,Delhi
2017,Mahindra,XUV500,1200000,28000,Diesel,Delhi
2017,Hyundai,Creta,975000,55000,Petrol,Delhi
2017,Maruti Suzuki,Vitara,825000,39000,Diesel,Delhi
2016,BMW,3,2500000,20000,Diesel,Delhi
2008,Honda,CR-V,390000,97000,Petrol,Delhi
2019,BMW,6,5500000,18000,Petrol,Delhi
2015,Datsun,GO,260000,54000,Petrol,Noida
2012,Volkswagen,Passat,590000,88000,Diesel,Delhi
2014,BMW,3,1390000,66000,Diesel,Delhi
2010,Honda,Jazz,265000,57000,Petrol,Delhi
2007,Maruti Suzuki,Wagon,62500,75000,Petrol,Delhi
2018,Mercedes-Benz,C-Class,3500000,13000,Diesel,Delhi
2017,Mahindra,XUV500,1175000,59700,Diesel,Delhi
2015,Volkswagen,Polo,565000,57000,Petrol,Delhi
2014,Hyundai,Grand,385000,34000,Petrol,Delhi
2014,Honda,Brio,450000,68000,Petrol,Delhi
2020,Hyundai,Creta,1875000,8000,Petrol,Delhi
2018,Mahindra,KUV100,545000,32000,Diesel,Delhi
2012,Volkswagen,Jetta,615000,59000,Diesel,Delhi
2012,Tata,Nano,65000,18000,Petrol,Ghaziabad
2017,Mahindra,XUV500,1050000,68000,Diesel,Delhi
2016,Maruti Suzuki,Ciaz,599000,53357,Diesel,Ghaziabad
2016,Hyundai,Grand,425000,64000,Diesel,Delhi
2017,Toyota,Fortuner,2990000,38000,Diesel,Delhi
2012,Mercedes-Benz,E-Class,1260000,54000,Petrol,Delhi
2016,Skoda,Superb,1650000,51000,Petrol,Delhi
2018,Honda,City,1025000,31000,Petrol,Delhi
2012,Honda,Brio,299000,85000,Petrol,Noida
2021,Tata,Safari,2190000,5500,Diesel,Delhi
2015,Ford,EcoSport,495000,69000,Petrol,Noida
2018,Honda,City,890000,17000,Petrol,Delhi
2013,Maruti Suzuki,Swift,350000,72000,Diesel,Delhi
2017,Maruti Suzuki,Baleno,525000,60000,Petrol,Delhi
2019,Honda,City,1200000,30500,Petrol,Delhi
2020,Renault,Kwid,445000,11000,Petrol,Noida
2017,Mercedes-Benz,E-Class,2700000,41000,Diesel,Delhi
2017,Ford,EcoSport,575000,60956,Petrol,Delhi
2018,Hyundai,Elite,655000,30834,Petrol,Delhi
2017,Honda,Jazz,575000,28000,Petrol,Delhi
2018,Maruti Suzuki,Vitara,790000,39000,Diesel,Delhi
2014,Maruti Suzuki,Celerio,345000,65000,Petrol,Delhi
2015,Hyundai,Creta,835000,69000,Diesel,Delhi
2015,BMW,7,3700000,66000,Diesel,Dehradun
2015,BMW,7,3700000,48000,Diesel,Dehradun
2013,BMW,7,2900000,59000,Diesel,Dehradun
2018,BMW,X1,2500000,33500,Diesel,Dehradun
2016,BMW,Z4,4850000,26700,Petrol,Dehradun
2017,Jaguar,F-Pace,3700000,45700,Diesel,Dehradun
2018,Jaguar,XE,3500000,23500,Diesel,Dehradun
2012,Lamborghini,Gallardo,12500000,14500,Petrol,Dehradun
2020,MINI,Countryman,3850000,6517,Petrol,Dehradun
2014,Mercedes-Benz,C-Class,2700000,22000,Petrol,Dehradun
2017,Mercedes-Benz,C-Class,2900000,44000,Diesel,Dehradun
2018,Audi,A6,3750000,22000,Diesel,Dehradun
2013,Audi,Q7,1675000,50000,Diesel,Delhi
2020,MG,Hector,1950000,4500,Petrol,Delhi
2018,Maruti Suzuki,Vitara,769000,47201,Diesel,Delhi
2017,Maruti Suzuki,Vitara,825000,18500,Diesel,Delhi
2017,Renault,Kwid,345000,17453,Petrol,Delhi
2015,Audi,Q3,1650000,67000,Diesel,Delhi
2019,Hyundai,Creta,975000,18854,Petrol,Delhi
2017,Tata,Tiago,395000,32445,Petrol,Delhi
2012,Maruti Suzuki,Swift,245000,66000,Diesel,Ghaziabad
2020,Hyundai,Creta,1690000,14320,Petrol,Delhi
2017,Maruti Suzuki,Vitara,825000,18500,Diesel,Delhi
2020,Maruti Suzuki,Vitara,860000,12240,Petrol,Ghaziabad
2011,Maruti Suzuki,Swift,260000,55000,Petrol + 1,Delhi
2015,Audi,Q3,1650000,67000,Diesel,Delhi
2014,Renault,Duster,445000,71000,Diesel,Noida
2017,Renault,Kwid,345000,17453,Petrol,Delhi
2020,Maruti Suzuki,Wagon,565000,7823,Petrol,Delhi
2020,Maruti Suzuki,Ciaz,1085000,8000,Diesel,Delhi
2014,Honda,Brio,300000,41606,Petrol,Noida
2013,Audi,Q7,1675000,50000,Diesel,Delhi
2019,Hyundai,Creta,975000,18854,Petrol,Delhi
2012,Maruti Suzuki,Swift,245000,66000,Diesel,Ghaziabad
2020,Hyundai,Creta,1690000,14320,Petrol,Delhi
2014,Hyundai,Grand,365000,40000,Petrol,Noida
2015,Audi,A6,1975000,75000,Diesel,Delhi
2019,Hyundai,Creta,1475000,10000,Petrol,Delhi
2017,Audi,Q7,5900000,31000,Diesel,Delhi
2019,Audi,Q3,3100000,14000,Diesel,Delhi
2018,BMW,X1,2750000,21000,Diesel,Delhi
2017,Ford,Mustang,7200000,17000,Petrol,Delhi
2015,Mercedes-Benz,SLK,3750000,32000,Petrol,Delhi
2018,BMW,7,6950000,31000,Diesel,Delhi
2019,Jaguar,XE,3300000,27000,Diesel,Delhi
2019,BMW,5,5500000,9800,Diesel,Delhi
2018,BMW,7,6950000,31000,Diesel,Delhi
2019,Jaguar,XE,3300000,27000,Diesel,Delhi
2019,BMW,5,5500000,9800,Diesel,Delhi
2012,Skoda,Rapid,380000,30000,Petrol,Delhi
2016,Mercedes-Benz,S-Class,6800000,30000,Petrol,Delhi
2020,BMW,X7,11500000,12000,Diesel,Delhi
2019,Volkswagen,Vento,1050000,38000,Petrol,Delhi
2018,Porsche,718,8600000,4000,Petrol,Faridabad
2018,Toyota,Innova,2050000,80000,Diesel,Delhi
2012,Audi,Q5,1625000,14500,Diesel,Delhi
2015,Land Rover,Evoque,2850000,41000,Diesel,Delhi
2016,Mercedes-Benz,CLA,1851000,43000,Petrol,Delhi
2018,BMW,3,3750000,18000,Petrol,Delhi
2012,Tata,Aria,425000,2700,Diesel,Delhi
2019,Mercedes-Benz,CLA,2800000,23000,Diesel,Delhi
2019,Jaguar,F-Pace,5100000,13000,Diesel,Delhi
2020,BMW,7,12100000,12000,Petrol,Delhi
2020,Jeep,Compass,2400000,17000,Diesel,Delhi
2019,Ford,Endeavour,3000000,40000,Diesel,Delhi
2018,BMW,X1,2900000,32000,Diesel,Delhi
2015,Audi,A6,1975000,75000,Diesel,Delhi
2019,Hyundai,Creta,1475000,10000,Petrol,Delhi
2018,Honda,Jazz,695000,32000,Petrol,Agra
2014,Audi,A6,1465000,75000,Diesel,Delhi
2017,Mahindra,XUV500,1275000,70000,Diesel,Delhi
2012,Mercedes-Benz,E-Class,1260000,54000,Petrol,Delhi
2018,Land Rover,3,14700000,25000,Diesel,Delhi
2018,Toyota,Land,14500000,90000,Diesel,Delhi
2020,Mercedes-Benz,GLC,5800000,12000,Diesel,Delhi
2019,Ford,Mustang,7100000,7000,Petrol,Delhi
2019,Lexus,NX,5200000,30000,Petrol,Delhi
2019,Audi,Q7,7300000,9000,Diesel,Delhi
2021,Mahindra,Thar,1811000,490,Petrol,Delhi
2017,Lexus,ES,3790000,16000,Petrol,Delhi
2015,Audi,A6,2150000,14000,Diesel,Delhi
2008,BMW,5,485000,64000,Petrol,Delhi
2020,Mercedes-Benz,GLS,8400000,14800,Diesel,Delhi
2014,Maruti Suzuki,Ertiga,550000,98500,Diesel,Lucknow
2018,Mercedes-Benz,GLA,2850000,55000,Diesel,Lucknow
2019,Maruti Suzuki,Dzire,875000,15500,Diesel,Lucknow
2014,Hyundai,Verna,550000,115000,Diesel,Lucknow
2013,Audi,Q5,1600000,74000,Diesel,Dehradun
2014,Audi,Q7,2800000,54500,Diesel,Dehradun
2015,BMW,5,2350000,77000,Diesel,Dehradun
2013,Audi,A4,1450000,63700,Diesel,Dehradun
2013,Audi,A6,1650000,64000,Diesel,Dehradun
2018,Audi,Q3,2800000,43000,Diesel,Dehradun
2019,Toyota,Fortuner,2675000,85000,Diesel,Lucknow
2019,Ford,EcoSport,950000,6372,Petrol,Delhi
2011,Toyota,Corolla,365000,35000,Petrol,Delhi
2019,Volkswagen,Ameo,495000,38000,Petrol,Noida
2015,Maruti Suzuki,Swift,449000,67800,Petrol,Delhi
2017,Maruti Suzuki,Vitara,745000,67000,Diesel,Noida
2017,Toyota,Innova,1571000,73009,Petrol,Delhi
2017,BMW,X1,2575000,60000,Diesel,Delhi
2019,Land Rover,Sport,12300000,17000,Diesel,Delhi
2018,Toyota,Fortuner,3075000,25000,Petrol,Delhi
2018,BMW,5,3950000,55000,Diesel,Delhi
2016,Honda,City,800000,38000,Petrol,Delhi
2019,Audi,A3,2550000,15000,Petrol,Delhi
2012,Audi,Q7,1650000,65000,Diesel,Delhi
2015,Maruti Suzuki,Baleno,465000,58000,Petrol,Noida
2019,Toyota,Innova,2325000,38000,Diesel,Delhi
2019,Tata,Harrier,1625000,12000,Diesel,Delhi
2018,Maruti Suzuki,Ciaz,895000,27000,Petrol,Delhi
2017,Mercedes-Benz,CLA,4300000,17000,Petrol,Dehradun
2016,Volvo,V40,1750000,78000,Diesel,Dehradun
2018,Mercedes-Benz,E-Class,4700000,38200,Diesel,Dehradun
2020,Land Rover,Evoque,5900000,9000,Diesel,Dehradun
2018,Mercedes-Benz,GLC,4500000,43000,Diesel,Dehradun
2019,Mercedes-Benz,S-Class,11000000,7111,Diesel,Dehradun
2015,Mercedes-Benz,GLA,2050000,18000,Petrol,Dehradun
2018,Mercedes-Benz,GLC,4500000,43000,Diesel,Dehradun
2018,Mercedes-Benz,E-Class,4700000,38200,Diesel,Dehradun
2014,Mercedes-Benz,A-Class,1275000,56000,Diesel,Delhi
2017,Mercedes-Benz,CLA,2575000,22500,Diesel,Delhi
2010,Mitsubishi,Outlander,550000,75000,Petrol,Delhi
2018,BMW,5,4200000,24000,Diesel,Delhi
2014,Audi,Q7,2390000,57000,Diesel,Delhi
2020,Mercedes-Benz,GLC,5700000,9000,Diesel,Delhi
2019,Toyota,Innova,2175000,15800,Petrol,Delhi
2019,Honda,City,1145000,21963,Petrol,Delhi
2013,Hyundai,Grand,370000,49350,Petrol,Delhi
2019,Mahindra,Scorpio,1675000,53500,Diesel,Lucknow
2018,Jeep,Compass,1650000,16000,Petrol,Ghaziabad
2012,Honda,Brio,235000,65000,Petrol,Noida
2019,MG,Hector,1640000,24000,Petrol,Delhi
2019,Maruti Suzuki,Baleno,635000,13000,Petrol,Delhi
2010,Maruti Suzuki,Wagon,125000,71000,Petrol,Delhi
2017,BMW,X5,4700000,47000,Petrol,Delhi
2018,Maruti Suzuki,Ciaz,910000,34000,Petrol,Delhi
2017,Honda,WR-V,720000,73000,Diesel,Delhi
2018,Maruti Suzuki,Baleno,635000,70000,Diesel,Delhi
2021,Mahindra,Thar,1850000,4000,Petrol,Delhi
2010,Honda,City,310000,58000,Petrol,Delhi
2016,Maruti Suzuki,Swift,460000,29000,Petrol,Delhi
2019,Jaguar,XE,3390000,18000,Petrol,Delhi
2018,Mercedes-Benz,E-Class,5175000,14880,Diesel,Delhi
2019,Maruti Suzuki,Celerio,535000,45000,CNG + 1,Delhi
2012,Maruti Suzuki,Swift,320000,80000,Petrol,Delhi
2020,Mercedes-Benz,CLA,3000000,4000,Diesel,Delhi
2009,Maruti Suzuki,Wagon,135000,75000,Petrol,Delhi
2019,Maruti Suzuki,Baleno,635000,13000,Petrol,Delhi
2018,Maruti Suzuki,Ciaz,910000,34000,Petrol,Delhi
2017,Ford,Endeavour,2750000,50000,Diesel,Delhi
2020,Kia,Seltos,1850000,5800,Petrol,Delhi
2017,BMW,X5,4700000,47000,Petrol,Delhi
2016,Ford,Mustang,7300000,23000,Petrol,Delhi
